store_nbr,family,sales_lag_7,sales_rolling_mean_7
54,SCHOOL AND OFFICE SUPPLIES,0.0,0.0
27,SEAFOOD,6.429,18.927857071428573
54,PREPARED FOODS,86.0,87.28571428571429
18,MAGAZINES,1.0,3.142857142857143
18,MEATS,95.763,89.18314285714287
18,PERSONAL CARE,121.0,142.85714285714286
18,PET SUPPLIES,3.0,3.857142857142857
18,PLAYERS AND ELECTRONICS,6.0,6.714285714285714
18,POULTRY,161.29199,155.02428571428572
18,PREPARED FOODS,45.927002,47.38471485714286
18,PRODUCE,3146.355,1631.5079999999998
18,SCHOOL AND OFFICE SUPPLIES,35.0,47.714285714285715
18,SEAFOOD,19.122,12.320857071428572
19,AUTOMOTIVE,0.0,4.714285714285714
19,BABY CARE,0.0,0.2857142857142857
19,BEAUTY,2.0,2.5714285714285716
19,BEVERAGES,2607.0,2650.714285714286
19,BOOKS,0.0,0.0
19,BREAD/BAKERY,168.0,161.0
19,CELEBRATION,9.0,7.571428571428571
19,CLEANING,939.0,852.1428571428571
19,DAIRY,322.0,336.0
19,DELI,354.0,313.57142857142856
19,EGGS,52.0,61.42857142857143
19,FROZEN FOODS,29.0,41.126571428571424
19,GROCERY I,3475.0,3314.8571428571427
18,"LIQUOR,WINE,BEER",30.0,58.57142857142857
18,LINGERIE,15.0,5.857142857142857
18,LAWN AND GARDEN,1.0,1.1428571428571428
18,LADIESWEAR,7.0,7.428571428571429
17,POULTRY,349.655,354.0338571428571
17,PREPARED FOODS,54.0,63.857142857142854
17,PRODUCE,2251.63,1364.2281428571428
17,SCHOOL AND OFFICE SUPPLIES,0.0,17.857142857142858
17,SEAFOOD,17.0,11.714285714285714
18,AUTOMOTIVE,3.0,3.857142857142857
18,BABY CARE,0.0,0.0
18,BEAUTY,6.0,3.857142857142857
18,BEVERAGES,2013.0,1923.2857142857142
18,BOOKS,0.0,0.0
18,BREAD/BAKERY,532.0,504.57142857142856
19,GROCERY II,1.0,12.142857142857142
18,CELEBRATION,8.0,9.0
18,DAIRY,505.0,516.1428571428571
18,DELI,138.524,168.47985714285713
18,EGGS,129.0,167.71428571428572
18,FROZEN FOODS,53.0,53.80885714285715
18,GROCERY I,2674.523,2541.0178571428573
18,GROCERY II,20.0,13.714285714285714
18,HARDWARE,1.0,1.0
18,HOME AND KITCHEN I,10.0,22.0
18,HOME AND KITCHEN II,22.0,21.142857142857142
18,HOME APPLIANCES,0.0,0.0
18,HOME CARE,134.0,172.14285714285714
18,CLEANING,553.0,535.2857142857143
19,HARDWARE,0.0,1.1428571428571428
19,HOME AND KITCHEN I,7.0,12.714285714285714
19,HOME AND KITCHEN II,12.0,13.714285714285714
20,GROCERY I,5562.758,5891.445428571429
20,GROCERY II,14.0,13.714285714285714
20,HARDWARE,0.0,0.8571428571428571
20,HOME AND KITCHEN I,15.0,15.857142857142858
20,HOME AND KITCHEN II,10.0,13.428571428571429
20,HOME APPLIANCES,0.0,0.0
20,HOME CARE,321.0,333.14285714285717
20,LADIESWEAR,0.0,0.8571428571428571
20,LAWN AND GARDEN,5.0,7.285714285714286
20,LINGERIE,0.0,4.857142857142857
20,"LIQUOR,WINE,BEER",21.0,55.285714285714285
20,FROZEN FOODS,78.0,94.76442857142857
20,MAGAZINES,3.0,2.5714285714285716
20,PERSONAL CARE,383.0,380.7142857142857
20,PET SUPPLIES,2.0,4.571428571428571
20,PLAYERS AND ELECTRONICS,3.0,8.142857142857142
20,POULTRY,251.912,334.609
20,PREPARED FOODS,65.048996,69.729714
20,PRODUCE,1063.347,1008.5644285714285
20,SCHOOL AND OFFICE SUPPLIES,94.0,83.42857142857143
20,SEAFOOD,18.982,15.982714142857143
21,AUTOMOTIVE,7.0,10.142857142857142
21,BABY CARE,1.0,0.5714285714285714
21,BEAUTY,7.0,5.285714285714286
20,MEATS,284.558,359.63043571428574
17,PLAYERS AND ELECTRONICS,7.0,9.428571428571429
20,EGGS,79.0,114.57142857142857
20,DAIRY,663.0,727.7142857142857
19,HOME APPLIANCES,0.0,0.14285714285714285
19,HOME CARE,217.0,168.14285714285714
19,LADIESWEAR,4.0,8.428571428571429
19,LAWN AND GARDEN,0.0,0.0
19,LINGERIE,1.0,2.857142857142857
19,"LIQUOR,WINE,BEER",63.0,52.142857142857146
19,MAGAZINES,2.0,2.7142857142857144
19,MEATS,131.321,139.46014142857143
19,PERSONAL CARE,189.0,186.85714285714286
19,PET SUPPLIES,1.0,1.2857142857142858
19,PLAYERS AND ELECTRONICS,2.0,7.0
20,DELI,776.426,663.6632857142857
19,POULTRY,145.494,144.69799999999998
19,PRODUCE,500.601,477.13314285714284
19,SCHOOL AND OFFICE SUPPLIES,6.0,7.714285714285714
19,SEAFOOD,10.0,5.571428571428571
20,AUTOMOTIVE,4.0,8.285714285714286
20,BABY CARE,0.0,0.14285714285714285
20,BEAUTY,10.0,5.0
20,BEVERAGES,3675.0,4623.714285714285
20,BOOKS,0.0,0.0
20,BREAD/BAKERY,434.0,532.1428571428571
20,CELEBRATION,3.0,6.857142857142857
20,CLEANING,1149.0,1207.7142857142858
19,PREPARED FOODS,41.0,25.142857142857142
21,BEVERAGES,4133.0,3190.4285714285716
17,PET SUPPLIES,2.0,2.857142857142857
17,MEATS,256.315,247.52485714285714
15,FROZEN FOODS,62.0,63.857142857142854
15,GROCERY I,2723.0,2480.285714285714
15,GROCERY II,3.0,5.142857142857143
15,HARDWARE,5.0,1.8571428571428572
15,HOME AND KITCHEN I,13.0,10.714285714285714
15,HOME AND KITCHEN II,24.0,18.714285714285715
15,HOME APPLIANCES,1.0,0.14285714285714285
15,HOME CARE,232.0,201.14285714285714
15,LADIESWEAR,9.0,7.142857142857143
15,LAWN AND GARDEN,0.0,0.0
15,LINGERIE,1.0,2.4285714285714284
15,"LIQUOR,WINE,BEER",24.0,23.571428571428573
15,MAGAZINES,4.0,2.2857142857142856
15,MEATS,139.346,120.60471428571428
15,PERSONAL CARE,212.0,171.85714285714286
15,PET SUPPLIES,0.0,0.8571428571428571
15,PLAYERS AND ELECTRONICS,3.0,4.571428571428571
15,POULTRY,124.954,108.80385771428573
15,PREPARED FOODS,40.0,37.714285714285715
15,PRODUCE,993.468,590.0381428571428
15,SCHOOL AND OFFICE SUPPLIES,0.0,9.428571428571429
15,SEAFOOD,14.0,5.571428571428571
16,AUTOMOTIVE,6.0,4.428571428571429
15,EGGS,85.0,104.28571428571429
15,DELI,221.0,231.85714285714286
15,DAIRY,369.0,319.2857142857143
15,CLEANING,920.0,766.2857142857143
14,HOME AND KITCHEN II,13.0,17.142857142857142
14,HOME APPLIANCES,0.0,0.0
14,HOME CARE,152.0,169.85714285714286
14,LADIESWEAR,0.0,1.2857142857142858
14,LAWN AND GARDEN,0.0,0.0
14,LINGERIE,2.0,2.0
14,"LIQUOR,WINE,BEER",6.0,17.142857142857142
14,MAGAZINES,0.0,2.4285714285714284
14,MEATS,223.57901,253.9217157142857
14,PERSONAL CARE,211.0,234.85714285714286
14,PET SUPPLIES,0.0,0.7142857142857143
16,BABY CARE,0.0,0.2857142857142857
14,PLAYERS AND ELECTRONICS,4.0,4.857142857142857
14,PREPARED FOODS,101.0,88.28571428571429
14,PRODUCE,405.954,357.23657142857144
14,SCHOOL AND OFFICE SUPPLIES,0.0,6.285714285714286
14,SEAFOOD,2.0,4.428571428571429
15,AUTOMOTIVE,7.0,5.285714285714286
15,BABY CARE,1.0,1.0
15,BEAUTY,1.0,3.7142857142857144
15,BEVERAGES,1767.0,1525.5714285714287
15,BOOKS,0.0,0.0
15,BREAD/BAKERY,147.0,135.0
15,CELEBRATION,2.0,5.857142857142857
14,POULTRY,61.149998,85.60342828571429
16,BEAUTY,2.0,0.8571428571428571
16,BEVERAGES,987.0,1359.7142857142858
16,BOOKS,0.0,0.0
17,AUTOMOTIVE,3.0,6.0
17,BABY CARE,0.0,0.42857142857142855
17,BEAUTY,1.0,2.7142857142857144
17,BEVERAGES,2994.0,2901.5714285714284
17,BOOKS,0.0,0.0
17,BREAD/BAKERY,284.0,303.7142857142857
17,CELEBRATION,7.0,6.0
17,CLEANING,968.0,995.0
17,DAIRY,585.0,695.5714285714286
17,DELI,432.0,492.14285714285717
17,EGGS,134.0,168.42857142857142
16,SEAFOOD,2.0,1.2857142857142858
17,FROZEN FOODS,116.0,103.71428571428571
17,GROCERY II,16.0,16.285714285714285
17,HARDWARE,2.0,1.1428571428571428
17,HOME AND KITCHEN I,19.0,29.142857142857142
17,HOME AND KITCHEN II,15.0,23.571428571428573
17,HOME APPLIANCES,0.0,0.0
17,HOME CARE,265.0,256.2857142857143
17,LADIESWEAR,0.0,0.0
17,LAWN AND GARDEN,0.0,0.0
17,LINGERIE,4.0,7.571428571428571
17,"LIQUOR,WINE,BEER",19.0,53.142857142857146
17,MAGAZINES,4.0,5.714285714285714
17,GROCERY I,3960.0,4123.857142857143
17,PERSONAL CARE,236.0,255.42857142857142
16,SCHOOL AND OFFICE SUPPLIES,0.0,0.0
16,PREPARED FOODS,33.0,33.285714285714285
16,BREAD/BAKERY,164.0,138.14285714285714
16,CELEBRATION,1.0,5.0
16,CLEANING,658.0,649.7142857142857
16,DAIRY,216.0,244.85714285714286
16,DELI,152.0,139.42857142857142
16,EGGS,99.0,149.0
16,FROZEN FOODS,23.984001,39.228142999999996
16,GROCERY I,1802.0,1984.7142857142858
16,GROCERY II,9.0,6.571428571428571
16,HARDWARE,0.0,0.0
16,HOME AND KITCHEN I,12.0,15.285714285714286
16,PRODUCE,868.394,508.03257142857143
16,HOME AND KITCHEN II,15.0,16.142857142857142
16,HOME CARE,119.0,155.14285714285714
